# Frequency, Real(S11), Imag(S11), Amp(S11), Phase(S11), Real(E0), Imag(E0), Amp(E0), Phase(E0), Real(E1), Imag(E1), Amp(E1), Phase(E1), Real(E2), Imag(E2), Amp(E2), Phase(E2), Real(I0), Imag(I0), Amp(I0), Phase(I0), Real(I1), Imag(I1), Amp(I1), Phase(I1), Real(I2), Imag(I2), Amp(I2), Phase(I2), Real(S21), Imag(S21), Amp(S21), Phase(S21), Real(ZL1), Imag(ZL1), Amp(ZL1), Phase(ZL1), Real(ZL2), Imag(ZL2), Amp(ZL2), Phase(ZL2), Real(J4avg), Imag(J4avg), Amp(J4avg), Phase(J4avg), Real(Icavg), Imag(Icavg), Amp(Icavg), Phase(Icavg), Unwrapped Phase(S21) 
7000000000.0,0.00020443470308084688,0.0024990929847470596,0.0025074407857885142,1.48917450920795,2.478505691800877,22.550084057521556,22.685882867227736,1.4613245877407823,1.318319101074495,10.985422397230893,11.06424287955755,1.4513612615325284,4.307725567767552,61.15427508223282,61.30580609045605,1.500472184198228,-8.726634914232941e-08,-7.190637880790256e-06,7.191167398159245e-06,-1.5829318378056867,-2.537313236108523e-07,-2.0960685867379778e-06,2.111369959266035e-06,-1.691261262914299,3.4099767275318077e-07,9.28670646752823e-06,9.29296488892828e-06,1.534093913016457,0.00010611197221243175,0.0001446090867968299,0.00017936426241318244,0.9377538705871736,24.79305425565044,0.9846752160391063,24.81260011777701,0.03969490696962961,24.857319623733318,0.9775311192881754,24.876533238488328,0.039305431187541394,2.965301584629423e-11,8.638153758534054e-13,2.9665594984495724e-11,0.029122540502260437,1.0000203465307536,-0.0005404477006737286,1.0000204925696303,-0.0005404366520462597,1.5586608157841062
7140845070.422536,0.00022453401140021256,0.002609219406245254,0.0026188626218651306,1.4849537131873198,2.696858246211973,23.370308536407567,23.525398306660957,1.4559077211033136,1.455762303011497,11.374817876350418,11.467594586617123,1.4435071284997465,4.572056651715368,63.227163804308276,63.39225461176882,1.498610382600458,-7.279450982987462e-08,-7.408826801120308e-06,7.409184409208609e-06,-1.5806213867457333,-2.727898857428112e-07,-2.1782504443769057e-06,2.1952652049790625e-06,-1.6953812037631653,3.4558439557268724e-07,9.587077245497216e-06,9.593303846204073e-06,1.5347650294944382,-1.1585279073648032e-06,0.00015069109514065173,0.00015069554851289104,1.5784842733284825,24.792326506090223,1.0097041382538152,24.81287883401261,0.04070398337422789,24.86108978585036,1.0016762499795735,24.881260833203097,0.04026914183548857,2.9677575161245745e-11,8.654053411651647e-13,2.9690190195684285e-11,0.029151983310235444,1.0000209563298654,-0.0005516222464928107,1.000021108470217,-0.0005516106308103176,1.5609712668440596
7281690140.845069,0.0002494820048466462,0.0027256679130956887,0.0027370617171013347,1.4795200647850897,2.9404075063556885,24.24889192894272,24.426517477630252,1.4501260065432908,1.613513394762215,11.794321079786172,11.904177216765783,1.4348360562876643,4.849885114336997,65.41245929013496,65.59200573245059,1.496788600646078,-5.3614613994007086e-08,-7.633779700445843e-06,7.633967974898295e-06,-1.5778195491787832,-2.932425754663476e-07,-2.2664221139459123e-06,2.285314071774204e-06,-1.699467176880508,3.468571894603564e-07,9.900201814391758e-06,9.906276085167741e-06,1.5357752857425213,2.9382791337634027e-06,0.00015722456780630317,0.00015725202131020998,1.5521100796340823,24.791576360733625,1.03529824540278,24.81318401388706,0.04173583151341271,24.86519548923239,1.0262622160857793,24.886364958625595,0.04124962853697808,2.972383283561998e-11,8.960281058752995e-13,2.9737335200155366e-11,0.030135980228663907,1.0000220830103361,-0.0005632319692847201,1.0000222416219473,-0.0005632194721478635,1.5637731044110093
7422535211.267605,0.0002742184612898324,0.002849137904730443,0.0028623037163592446,1.474845754519334,3.213230727033538,25.196065358829166,25.400129158560265,1.4439519532119423,1.795960801072066,12.249914310573846,12.380867328882466,1.4252233510012564,5.140478269947695,67.72562802839234,67.92043292473898,1.4950400599368239,-2.850721270315821e-08,-7.865733665063804e-06,7.865785323214345e-06,-1.5744205389922152,-3.1509467221626853e-07,-2.3615439298900984e-06,2.382472326231692e-06,-1.7034402838901577,3.436018849194304e-07,1.0227277594953902e-05,1.0233047896866617e-05,1.5372123460121179,1.6928793475002673e-06,0.0001644713449206971,0.0001644800569689472,1.5605038374295745,24.790805652142637,1.06151763569029,24.813521809150526,0.04279286485207303,24.869679775481192,1.0513264310810535,24.891891438773147,0.042248266014640636,2.9752524358021105e-11,8.935158477191713e-13,2.976593818855311e-11,0.0300225743039905,1.0000226628708273,-0.0005744916474696956,1.0000228278874,-0.0005744785649371965,1.5671721145975792
7563380281.69014,0.0003017621501801848,0.0029802926090541706,0.002995530742767345,1.4698877055215354,3.520222810782034,26.224543995427464,26.4597557888515,1.4373600630675492,2.008754906271415,12.749160510425138,12.906439865201143,1.4145212773584765,5.442124408235847,70.18523953620088,70.39591299804707,1.493411723693738,4.108406035892688e-09,-8.104842364818307e-06,8.104843406109323e-06,-1.5702894192575167,-3.382733641065413e-07,-2.464790300287769e-06,2.4878947110471995e-06,-1.707186512166996,3.3416495807065e-07,1.056963266510608e-05,1.0574913753524416e-05,1.5391912845171096,7.219340402409915e-08,0.00017207488073760173,0.00017207489588184395,1.5703767803772044,24.790017310550816,1.0884316836386314,24.813900172833723,0.043877867169612214,24.874593361287364,1.0769101201666915,24.897894093603952,0.04326655839188372,2.980688750077102e-11,9.260184806046786e-13,2.982126846245882e-11,0.031057275930070575,1.0000238811681512,-0.0005862853276266817,1.0000240530292752,-0.0005862712596126574,1.5713032343322757
7704225352.112676,0.00033254867733589766,0.0031199314205004568,0.003137604291720652,1.4646087939613068,3.8672730666866975,27.35040709226466,27.622464934993058,1.4303302329683865,2.259273995321672,13.301865338383356,13.492366006984144,1.4025554551112849,5.751547834112456,72.81395244532051,73.04075556288748,1.4919703569711693,4.629979255662249e-08,-8.351143462229972e-06,8.351271807188243e-06,-1.565252257483027,-3.6257018325152323e-07,-2.577602250101097e-06,2.6029772372245753e-06,-1.7105412914894025,3.1627039069490016e-07,1.0928745712331069e-05,1.0933321078465822e-05,1.5418650886720109,-2.0271628283756994e-06,0.00018003768056356777,0.00018004909278261308,1.582055509654307,24.78921581392368,1.1161210368013315,24.814329465816208,0.04499407162742215,24.879996397251183,1.1030586191750935,24.904436533368276,0.044306145643045636,2.985397848465384e-11,9.39789337662888e-13,2.986876688719102e-11,0.03146914207899312,1.0000247987650075,-0.0005979350551295846,1.0000249775237235,-0.0005979201561925118,1.5763403961067675
7845070422.535209,0.0003671062389168922,0.003268968210679287,0.003289516705092626,1.4589645341577606,4.261481821888656,28.59440368965636,28.910208399202535,1.4228531903447132,2.557307814923056,13.921015398747327,14.153956796331789,1.389120630932689,6.062986963115614,75.63999684510812,75.88259967636108,1.4908115008873342,1.0079955266137152e-07,-8.604503784891534e-06,8.605094185076039e-06,-1.5590821193893023,-3.8754636519909144e-07,-2.7017756662430503e-06,2.7294292326202757e-06,-1.71326586340251,2.867468125377175e-07,1.1306279451134579e-05,1.1309915064298607e-05,1.5454400318867767,-4.741826494753724e-06,0.00018835329677276139,0.00018841297546526425,1.5959661814450634,24.788407893211435,1.1446801846610914,24.814823364380064,0.046145262167285414,24.885960736000673,1.1298215790282562,24.911594460295085,0.04536880465730463,2.989109181204943e-11,9.282409437652576e-13,2.990550118232516e-11,0.031044123007663012,1.0000252839604065,-0.0006093691412493481,1.0000254696210702,-0.000609353658953559,1.582510534200491
7985915492.957746,0.00040608135395403533,0.0034284524006732344,0.0034524176934014237,1.4529010937771352,4.71144313650384,29.983982740143723,30.35188490670301,1.4149387221961571,2.9161111315203585,14.624173922532185,14.912081244676992,1.3739744122912543,6.366737215509112,78.69951796663028,78.95663031659414,1.4900728076815524,1.7126211012271196e-07,-8.864527984785082e-06,8.866182216907205e-06,-1.551478794405047,-4.1237400111519557e-07,-2.839612938013322e-06,2.8693995808406346e-06,-1.715010077446153,2.4111189099248253e-07,1.1704140922798403e-05,1.170662417969853e-05,1.55019867735438,-8.254523477749579e-06,0.0001970017749326095,0.0001971746344853801,1.6126725881319,24.787603547472838,1.1742208101449256,24.815400140591443,0.04733590546806442,24.892572837611684,1.1572529732457144,24.919458600055687,0.04645644035527589,2.9961875734367157e-11,9.6364837295141e-13,2.997736839197784e-11,0.03215140178272622,1.0000266545076553,-0.00062153958986716,1.0000268476582193,-0.0006215229434474352,1.5901138591847452
8126760563.380281,0.0004502743717560431,0.0035995944400624806,0.003627647604548852,1.4463524160748147,5.227684323548192,31.556630026940276,31.986709459459252,1.406626867695415,3.3541317986207817,15.435716948809613,15.795934851925905,1.3568258909024848,6.6468854630672745,82.04051964732756,82.30934303201958,1.489953363454931,2.626386510522345e-07,-9.130418119384653e-06,9.134194769973657e-06,-1.5420390185956736,-4.355667091075241e-07,-2.994184083125058e-06,3.025699370678158e-06,-1.7152539390731043,1.729280580552958e-07,1.21246022025097e-05,1.2125835339570048e-05,1.5565347179716673,-1.2812820193256166e-05,0.00020594295838257824,0.00020634115069145337,1.632931623014258,24.78681768789743,1.2048762393783679,24.816084659858884,0.0485713253468897,24.899937547491824,1.1854107165415255,24.928138487177183,0.0475710584541602,3.00240178566342e-11,9.729865519765552e-13,3.0039779477982455e-11,0.032395602672506754,1.0000275817544282,-0.0006335249790461144,1.0000277824258228,-0.0006335074210487874,1.5995536349941182
8267605633.802816,0.0005006885065937938,0.003783796274411916,0.0038167791692588944,1.4392362521797066,5.823624746497609,33.365684373634515,33.870097415109655,1.397997660456068,3.898116510497032,16.39066663265263,16.847826714213372,1.3373085427491664,6.877963511518339,85.72993323610265,86.00539421880697,1.4907395351755468,3.8174806552598926e-07,-9.400765436412844e-06,9.408513292544535e-06,-1.5302104364115503,-4.545269587306756e-07,-3.1697930540654694e-06,3.202215289735319e-06,-1.7132187364668532,7.277889320468117e-08,1.2570558490478316e-05,1.2570769170175411e-05,1.5650067606354001,-1.875766774819116e-05,0.0002151063919422264,0.00021592269439258638,1.6577781125051263,24.786072760809656,1.2368074345661704,24.816911482582775,0.04985793644181728,24.908182973449012,1.214355550417582,24.93776731068051,0.048714705318680634,3.009273280784581e-11,9.798673516304968e-13,3.0108681603005995e-11,0.03255009354408582,1.0000284973285365,-0.0006456580287082989,1.00002870575972,-0.0006456395399919365,1.6113822171782437
